iter	Passed	Remaining
0	20	20147
1	36	18194
2	52	17435
3	68	17099
4	84	16853
5	101	16750
6	117	16633
7	134	16699
8	152	16773
9	168	16671
10	184	16592
11	200	16519
12	216	16469
13	232	16401
14	248	16344
15	264	16276
16	280	16229
17	296	16183
18	314	16221
19	330	16206
20	346	16162
21	362	16129
22	379	16106
23	395	16082
24	411	16045
25	427	16009
26	443	15980
27	459	15954
28	475	15925
29	492	15909
30	509	15932
31	527	15966
32	544	15947
33	561	15952
34	577	15935
35	594	15913
36	610	15891
37	626	15863
38	642	15832
39	658	15808
40	674	15782
41	690	15756
42	708	15760
43	724	15739
44	740	15717
45	756	15696
46	773	15691
47	791	15688
48	807	15674
49	824	15664
50	841	15652
51	857	15636
52	874	15619
53	891	15617
54	907	15595
55	923	15575
56	939	15550
57	956	15529
58	972	15507
59	988	15492
60	1005	15473
61	1021	15447
62	1037	15425
63	1053	15404
64	1069	15384
65	1086	15382
66	1103	15371
67	1120	15352
68	1136	15333
69	1152	15312
70	1169	15306
71	1186	15286
72	1201	15263
73	1218	15243
74	1234	15221
75	1250	15203
76	1268	15201
77	1284	15183
78	1300	15163
79	1316	15141
80	1332	15120
81	1348	15100
82	1365	15082
83	1381	15061
84	1397	15043
85	1413	15022
86	1429	15003
87	1446	14991
88	1463	14975
89	1479	14955
90	1494	14933
91	1511	14916
92	1527	14896
93	1543	14878
94	1559	14858
95	1575	14837
96	1591	14818
97	1608	14801
98	1625	14794
99	1641	14777
100	1658	14760
101	1674	14740
102	1690	14723
103	1706	14704
104	1722	14686
105	1739	14669
106	1755	14651
107	1771	14632
108	1787	14614
109	1805	14606
110	1821	14591
111	1837	14571
112	1854	14553
113	1869	14533
114	1886	14514
115	1902	14495
116	1918	14482
117	1935	14463
118	1951	14445
119	1967	14425
120	1983	14409
121	2000	14396
122	2016	14380
123	2033	14362
124	2048	14342
125	2065	14325
126	2081	14306
127	2097	14289
128	2113	14271
129	2129	14254
130	2146	14237
131	2162	14220
132	2179	14210
133	2196	14194
134	2212	14177
135	2228	14158
136	2245	14141
137	2261	14123
138	2277	14104
139	2292	14084
140	2308	14066
141	2325	14048
142	2341	14030
143	2358	14019
144	2375	14004
145	2391	13986
146	2407	13969
147	2423	13950
148	2439	13932
149	2455	13915
150	2471	13897
151	2488	13880
152	2503	13860
153	2519	13842
154	2536	13830
155	2553	13813
156	2569	13794
157	2585	13777
158	2601	13758
159	2617	13740
160	2633	13722
161	2649	13704
162	2665	13687
163	2681	13670
164	2697	13651
165	2714	13635
166	2731	13623
167	2747	13605
168	2763	13589
169	2780	13575
170	2796	13558
171	2812	13540
172	2828	13521
173	2845	13506
174	2862	13496
175	2880	13484
176	2897	13471
177	2914	13459
178	2930	13442
179	2947	13425
180	2962	13407
181	2979	13389
182	2995	13373
183	3011	13354
184	3027	13337
185	3043	13319
186	3059	13301
187	3075	13284
188	3093	13273
189	3109	13255
190	3125	13237
191	3141	13219
192	3157	13202
193	3173	13184
194	3189	13166
195	3205	13148
196	3221	13131
197	3237	13115
198	3253	13097
199	3271	13084
200	3287	13068
201	3303	13051
202	3319	13034
203	3335	13015
204	3351	12998
205	3367	12980
206	3383	12963
207	3399	12944
208	3415	12928
209	3432	12911
210	3449	12898
211	3465	12881
212	3482	12865
213	3498	12849
214	3514	12832
215	3530	12815
216	3547	12799
217	3563	12781
